channel_name,video_id,Date,Time,duration_seconds,views,likes,comments,shorts,title,content_type
RJ Karishma,jxhHyuxtFDs,6/4/2025,6:17:03 AM,45,"994,550.00","24,226.00",107,Yes,"#ad she didn’t miss the whisper,airtel doesn’t miss fraud links either #airtel #airtelthesafenetwork",Brand / Ads / Events
RJ Karishma,71k1mwHXSKk,6/1/2025,8:12:19 AM,117,"20,302,324.00","642,364.00",3583,Yes,a microdrama series “bright भविष्य loading …releasing soon on youtube/insta #rjkarishma #shorts,"Character / Micro Comedy, Trends / Challenges / Social Media"
RJ Karishma,8oKaTxKgpQQ,5/25/2025,11:01:15 AM,90,"10,499,954.00","349,511.00",702,Yes,90’s wale aajao sab comment section mai😆 #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,LGcihjSiujs,5/19/2025,10:33:44 AM,110,"7,094,386.00","321,179.00",804,Yes,tujhe change karna hai kissi ka naam?? #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,Vy8joa76xK4,5/16/2025,6:42:24 AM,116,"3,070,308.00","154,414.00",819,Yes,kya kahoge iss baat par #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,9NHcOBkA4lA,5/14/2025,11:21:27 AM,60,"1,262,121.00","38,974.00",294,Yes,jo mujhe lagta hai ma ..wo mujhe sahi mai lagta hai #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,3z_t5nxIKYw,5/12/2025,12:09:39 PM,84,"19,124,725.00","593,100.00",1037,Yes,mere show ka promo https://www.instagram.com/reel/djn1bwimhpz/?igsh=awo3nxgyytblazdi,Character / Micro Comedy
RJ Karishma,VHoKb5yOAK8,5/6/2025,10:29:11 AM,98,"7,498,677.00","305,793.00",837,Yes,mehman jaye toh jaldi se bacha hua samosa kha lu #shorts #rjkarishma,"Character / Micro Comedy, Food / Cooking"
RJ Karishma,zdb4KHAfN2k,4/12/2025,10:17:34 AM,93,"2,734,380.00","101,090.00",792,Yes,mai sambhal lungi is a scam😛 #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,SU5yQa8y-v0,3/26/2025,11:32:08 AM,91,"4,273,653.00","204,588.00",1047,Yes,"the palak,the paneer #shorts #rjkarishma","Character / Micro Comedy, Food / Cooking"
RJ Karishma,VscWmZBUzag,3/21/2025,8:47:16 AM,89,"2,021,297.00","80,049.00",517,Yes,apka bestie bhi aisa hai kya? #shorts #rjkarishma,"POV / Kids & Teens, Character / Micro Comedy"
RJ Karishma,tyteJjThzG0,3/14/2025,4:06:14 AM,61,"20,685,593.00","843,645.00",3924,Yes,sir please ek line bata do #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,aXC2EaXn_tk,2/20/2025,4:28:30 AM,60,"67,329,715.00","1,048,432.00",4196,Yes,maa jaisa koi nahi❤️ #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,hR98cBg3cG8,2/15/2025,10:00:44 AM,60,"6,362,776.00","286,988.00",309,Yes,yes ma’am !! #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,p-O_1cLW1TI,2/13/2025,11:39:56 AM,61,"7,105,127.00","334,120.00",749,Yes,pulao kha lo beta #rjkarishma #shorts,"Character / Micro Comedy, Food / Cooking"
RJ Karishma,yq_m65lduTo,2/3/2025,4:57:23 AM,60,"4,201,193.00","220,280.00",274,Yes,ek per par khadi rehti hain ye #reels #reelsinstagram,Trends / Challenges / Social Media
RJ Karishma,nOj2U0kOGWg,2/2/2025,2:45:29 AM,60,"2,662,673.00","110,346.00",290,Yes,koi hai apki life mai aisa ?? #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,F0H3VbIfo7o,1/23/2025,9:33:39 AM,61,"5,015,452.00","281,544.00",336,Yes,air bag❌parachute ✅ #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,sn592ABR0sM,1/11/2025,2:22:28 PM,61,"21,373,978.00","680,334.00",1051,Yes,crop top ❌ rumaal✅ #rjkarishma #shorts,"Character / Micro Comedy, Fashion / Style / Appearance"
RJ Karishma,_2q8NPT6VrU,1/8/2025,1:58:08 PM,60,"14,115,453.00","638,570.00",1413,Yes,kya kare aisi bacho ka😏 #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,5erVYbcTEmQ,12/3/2024,9:49:05 AM,61,"11,335,604.00","423,542.00",1328,Yes,koi chai pilado yaar #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,e_cvpi1eDkw,11/15/2024,4:05:00 AM,57,"9,385,873.00","447,623.00",981,Yes,moms are special #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,luJTDL_XVv0,11/11/2024,10:39:46 AM,61,"11,123,451.00","555,612.00",1591,Yes,mummy aur diet ka khana #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy, Food / Cooking"
RJ Karishma,_YoF4SVaqFY,10/31/2024,5:04:56 AM,269,"3,680,070.00","55,949.00",1450,No,kalesh ke bina koi function ho sakta hai kya #rjkrishma #shorts,Other
RJ Karishma,uVWmwC5vmkM,10/22/2024,4:10:38 AM,61,"16,067,465.00","577,150.00",1054,Yes,didi ke liye kafi bura lag raha hai😭😭😭,Other
RJ Karishma,HmgwKNbzvVM,10/16/2024,2:07:39 PM,61,"9,050,067.00","438,510.00",538,Yes,1800 ka blouse 😭 #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,WPlSJHMmMz0,10/11/2024,1:05:40 PM,61,"47,047,592.00","1,225,415.00",2046,Yes,ye rishta kya kehlata hai #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,o0f52chgcgw,10/8/2024,8:02:36 AM,60,"4,286,812.00","213,102.00",257,Yes,halwa puri kale channe…ab tak yaad aata hai #rjkarishma #shorts,"Character / Micro Comedy, Daily Life / Emotions, Food / Cooking"
RJ Karishma,PG-KztEKJYA,8/29/2024,8:28:54 AM,61,"4,219,235.00","186,139.00",455,Yes,tips lelo friends #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,K24yyaAg6_k,8/12/2024,1:08:56 PM,383,"85,251.00","1,684.00",74,No,justice for the gym trainer #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,lrnylsQn-Vc,8/10/2024,2:59:09 PM,57,"2,507,053.00","110,207.00",187,Yes,my whole experience at the paris olympics ❤️ #ad #paris2024,"Daily Life / Emotions, Brand / Ads / Events"
RJ Karishma,1b0l6ygSgys,8/10/2024,6:13:58 AM,58,"1,528,713.00","53,495.00",79,Yes,ye toh trailer tha. full paris olympics experience ke liye check out the main video #paris2024,"Daily Life / Emotions, Brand / Ads / Events"
RJ Karishma,3JcyPNZ4WEw,8/8/2024,12:32:30 PM,60,"2,309,322.00","139,061.00",246,Yes,the first ever beach volleyball experience ❤️ #paris24,"Daily Life / Emotions, Brand / Ads / Events"
RJ Karishma,1sNMPpi7weI,8/6/2024,9:14:21 AM,60,"2,465,207.00","133,764.00",197,Yes,picture abhi baki hai mere dost #paris2024 #rjkarishma,"Character / Micro Comedy, Brand / Ads / Events"
RJ Karishma,JWOT36-uC18,8/4/2024,10:08:52 AM,61,"2,227,946.00","111,791.00",120,Yes,karishma @ the paris olympics ep01 #paris2024 #rjkarishma #shorts,"Character / Micro Comedy, Brand / Ads / Events"
RJ Karishma,4582qRjTgyw,7/30/2024,4:28:11 AM,61,"8,636,533.00","446,960.00",428,Yes,kya lagta hai puri family ja payegi ? #paris2024,"Brand / Ads / Events, Food / Cooking"
RJ Karishma,LHlaaB3q8UA,7/29/2024,6:27:03 AM,60,"3,392,062.00","198,457.00",1047,Yes,vicky smart toh hai kuch bhi bolo #rjkarishma #comedy #shorts,"Character / Micro Comedy, Comedy / Funny"
RJ Karishma,0BVt52rreC8,7/19/2024,4:47:50 AM,61,"1,155,577.00","61,746.00",549,Yes,kya kehna chahiye aise logo ke bare mai #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,ah9jviH8gaU,7/16/2024,6:30:01 PM,60,"3,990,801.00","192,245.00",408,Yes,meri building mai rehte kab mere ghar ke andar aa gai .pata he nahi chala ❤️#shorts #rjkarishma,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,TVdqpHgMRFc,6/25/2024,4:36:20 AM,61,"18,528,918.00","851,881.00",1047,Yes,papad ko koi nahi dikhenge #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,DZSZiSK27YQ,6/25/2024,4:34:35 AM,60,"7,116,365.00","351,070.00",814,Yes,🤌🏻🤌🏻 #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,IxnOtFopmOA,5/11/2024,7:38:58 AM,55,"50,795,896.00","1,835,579.00",3183,Yes,mom and their babies #rjkarishma #shorts,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,Q0wgQZmcXfs,5/1/2024,8:36:12 AM,60,"7,633,807.00","404,909.00",2198,Yes,kya kare aise bacho ka batao.. #shorts #shorts,Other
