content_type,video_numbers,total_likes,avg_likes_per_video,performance_score
"Family / Relatable, Collaborations / Guests / Influencers",3,120522.0,40174.0,55692.989663630484
Collaborations / Guests / Influencers,4,60781.0,15195.25,24455.811438914261
Family / Relatable,4,49585.0,12396.25,19950.994722011215
Cultural / Life Observations,3,28016.0,9338.6666666666661,12946.140940378284
Daily Life / Relatable Emotions,5,23902.0,4780.4,8565.326966697794
"POV / Kids & Teens, Character / Micro Comedy / Podcast, Collaborations / Guests / Influencers, Cultural / Life Observations",5,410.0,82.0,146.9242764767005
